percentage,Unnamed: 1,percentage.1,ket,elapsed_time,gpu_used,dataset,experiment,file_path,subset_percentage_file
10,0,10.0,Dataloader,0.1966505050659179,0.0,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_10.csv,10
10,1,10.0,Train,200.4003186225891,1139.8251953125,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_10.csv,10
10,2,10.0,Test,2.5946295261383057,445.00927734375,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_10.csv,10
10,3,,Total,203.1915986537933,445.00927734375,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_10.csv,10
100,0,100.0,Dataloader,0.2096552848815918,0.0,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_100.csv,100
100,1,100.0,Train,5472.088985443115,1200.8056640625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_100.csv,100
100,2,100.0,Test,102.95975351333618,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_100.csv,100
100,3,,Total,5575.258394241333,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_100.csv,100
20,0,20.0,Dataloader,0.1996996402740478,0.0,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_20.csv,20
20,1,20.0,Train,457.1214909553528,1139.8251953125,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_20.csv,20
20,2,20.0,Test,6.88175368309021,463.80810546875,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_20.csv,20
20,3,,Total,464.202944278717,463.80810546875,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_20.csv,20
30,0,30.0,Dataloader,0.2068009376525879,0.0,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_30.csv,30
30,1,30.0,Train,796.8434901237488,1139.8251953125,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_30.csv,30
30,2,30.0,Test,10.760145664215088,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_30.csv,30
30,3,,Total,807.8104367256165,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_30.csv,30
40,0,40.0,Dataloader,0.2182214260101318,0.0,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_40.csv,40
40,1,40.0,Train,1245.835237979889,1200.8056640625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_40.csv,40
40,2,40.0,Test,17.64420485496521,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_40.csv,40
40,3,,Total,1263.6976642608645,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_40.csv,40
50,0,50.0,Dataloader,0.2037422657012939,0.0,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_50.csv,50
50,1,50.0,Train,1784.0892527103424,1200.8056640625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_50.csv,50
50,2,50.0,Test,25.30023717880249,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_50.csv,50
50,3,,Total,1809.5932321548464,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_50.csv,50
60,0,60.0,Dataloader,0.211087942123413,0.0,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_60.csv,60
60,1,60.0,Train,2371.5734593868256,1200.8056640625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_60.csv,60
60,2,60.0,Test,35.67059350013733,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_60.csv,60
60,3,,Total,2407.4551408290863,467.765625,ag-news-normal,bert_benchmark,save\ag-news-normal\bert_benchmark\summary_efficiency_60.csv,60
